# 目录	展示标题	文件名；由 build_cover_manifest.py 自动生成。
	总览	总览
操作系统	操作系统总装	操作系统总装
操作系统	读者与写者	读者与写者（进阶）
操作系统	页与分页	页与分页
操作系统	怎样处理死锁	怎样处理死锁
操作系统	地址转换	地址转换
操作系统	死锁是怎样形成的	死锁是怎样形成的
操作系统	地址重定位与内存保护	地址重定位与内存保护
操作系统	页表	页表
操作系统	分段	分段
操作系统	地址空间	地址空间
操作系统	信号量	信号量（进阶）
操作系统	目录与路径	目录与路径
操作系统	日志文件系统	日志文件系统（进阶）
操作系统	文件分配与空闲空间	文件分配与空闲空间
操作系统	隔离的边界：虚拟机与容器	隔离的边界：虚拟机与容器（进阶）
操作系统	文件怎样落到磁盘	文件怎样落到磁盘
操作系统	共享内存与内存映射	共享内存与内存映射
操作系统	用户、权限与访问控制	用户、权限与访问控制
操作系统	断电时写到一半怎么办	断电时写到一半怎么办
操作系统	缓冲与页面缓存	缓冲与页面缓存
操作系统	文件与文件描述符	文件与文件描述符
操作系统	内核态与用户态	内核态与用户态
操作系统	调度要解决什么	调度要解决什么
操作系统	程序如何变成进程	程序如何变成进程
操作系统	时间片与优先级调度	时间片与优先级调度
操作系统	系统调用	系统调用
操作系统	进程控制块与进程状态	进程控制块与进程状态
操作系统	先来先服务与最短任务优先	先来先服务与最短任务优先
操作系统	上下文切换	上下文切换
操作系统	进程的创建与结束	进程的创建与结束
操作系统	操作系统是什么	操作系统是什么
操作系统	多级页表	多级页表（进阶）
操作系统	内存分配与碎片	内存分配与碎片
操作系统	按需加载与交换空间	按需加载与交换空间
操作系统	查询、中断与 DMA	查询、中断与DMA
操作系统	缺页异常	缺页异常
操作系统	工作集与内存抖动	工作集与内存抖动（进阶）
操作系统	设备控制器与驱动程序	设备控制器与驱动程序
操作系统	写时复制	写时复制（进阶）
操作系统	页面置换	页面置换
操作系统	TLB	TLB
操作系统	多核调度	多核调度（进阶）
操作系统	自旋锁与睡眠锁	自旋锁与睡眠锁
操作系统	进程间通信	进程间通信
操作系统	生产者与消费者	生产者与消费者
操作系统	线程与并发	线程与并发
操作系统	临界区与原子操作	临界区与原子操作
操作系统	等待与通知	等待与通知
操作系统	互斥锁	互斥锁
操作系统	程序竞争	程序竞争
操作系统	多级反馈队列	多级反馈队列（进阶）
操作系统	引导程序与内核加载	引导程序与内核加载
操作系统	按下电源：复位与固件	按下电源：复位与固件
操作系统	术语表	术语表
程序与编程基础	名字、标签与地址	名字、标签与地址
程序与编程基础	高级语言：再加一层	高级语言：再加一层
程序与编程基础	汇编器	汇编器
程序与编程基础	用汇编语言指挥计算机	用汇编语言指挥计算机
程序与编程基础	分支与循环	分支与循环
程序与编程基础	没有操作系统的程序	没有操作系统的程序
程序与编程基础	函数调用与运行栈	函数调用与运行栈
程序与编程基础	函数	函数
程序与编程基础	从源代码到可执行文件	从源代码到可执行文件
程序与编程基础	编译与解释	编译与解释
程序与编程基础	程序在内存里的样子	程序在内存里的样子
程序与编程基础	变量、类型与表达式	变量、类型与表达式
程序与编程基础	术语表	术语表
计算机组成原理	计算机的历史	计算机的历史
计算机组成原理	简单逻辑门	简单逻辑门
计算机组成原理	中央处理器	中央处理器
计算机组成原理	输入输出系统	输入输出系统
计算机组成原理	计算机总线	计算机总线
计算机组成原理	第一次呼吸	第一次呼吸
计算机组成原理	中断系统	中断系统
计算机组成原理	控制器	控制器
计算机组成原理	计算机的数据表示	计算机的数据表示
计算机组成原理	常见复杂逻辑门	常见复杂逻辑门
计算机组成原理	寄存器	寄存器
计算机组成原理	一台会记事的小计算机	一台会记事的小计算机
计算机组成原理	状态机	尝试加法自动化
计算机组成原理	程序与程序计数器	程序与程序计数器
计算机组成原理	除法器	除法器
计算机组成原理	指令系统基础	指令系统基础
计算机组成原理	从寄存器到存储器	存储器
计算机组成原理	乘法器	乘法器
计算机组成原理	触发器	触发器
计算机组成原理	计算机的构成	计算机的构成
计算机组成原理	文字与编码	文字与编码
计算机组成原理	从真值表到逻辑表达式	从真值表到逻辑表达式
计算机组成原理	小数与浮点数	小数与浮点数
计算机组成原理	全加器	全加器
计算机组成原理	运算器总装	运算器总装
计算机组成原理	补码	补码
计算机组成原理	给电路一个共同节拍	时钟
计算机组成原理	有符号数与原码	有符号数与原码
计算机组成原理	算术逻辑单元	算术逻辑单元
计算机组成原理	让电路记住一个比特	锁存器
计算机组成原理	ALU 的状态标志	ALU的状态标志
计算机组成原理	减法器	减法器
计算机组成原理	半加器	半加器
计算机组成原理	数据的大小与单位	数据的大小与单位
计算机组成原理	指令流水线技术	指令流水线技术
计算机组成原理	快存储与大存储怎样合作	存储层次结构
计算机组成原理	术语表	术语表
计算机网络	无线网络（进阶）	无线网络（进阶）
计算机网络	地址怎样自动获得	地址怎样自动获得
计算机网络	为什么还需要 IP	为什么还需要 IP
计算机网络	协议分层与封装	协议分层与封装
计算机网络	IP 地址	IP 地址
